
These predictions were generated by MoorDyn (v2.0.02023-09-18) on 15-Feb-2024 at 11:56:22.

 
 
 
      Time        ANCHTEN1        ANCHTEN2        ANCHTEN3        FAIRTEN1        FAIRTEN2        FAIRTEN3
       (s)             (N)             (N)             (N)             (N)             (N)             (N)
    2.5125   1.4945568E+06   1.2857990E+06   1.2985156E+06   2.5724430E+06   2.3627838E+06   2.3764925E+06
    2.5250   1.4980512E+06   1.2814286E+06   1.2933709E+06   2.5777680E+06   2.3578435E+06   2.3710848E+06
    2.5375   1.5016725E+06   1.2768586E+06   1.2882328E+06   2.5834735E+06   2.3527002E+06   2.3655645E+06
    2.5500   1.5051098E+06   1.2722992E+06   1.2832869E+06   2.5892412E+06   2.3475665E+06   2.3601228E+06
    2.5625   1.5080654E+06   1.2679581E+06   1.2787051E+06   2.5947612E+06   2.3426528E+06   2.3549412E+06
    2.5750   1.5102670E+06   1.2640311E+06   1.2746394E+06   2.5997428E+06   2.3381592E+06   2.3501878E+06
    2.5875   1.5114786E+06   1.2606948E+06   1.2712156E+06   2.6039262E+06   2.3342678E+06   2.3460085E+06
    2.6000   1.5115102E+06   1.2580988E+06   1.2685291E+06   2.6070935E+06   2.3311340E+06   2.3425238E+06
    2.6125   1.5102255E+06   1.2563598E+06   1.2666418E+06   2.6090760E+06   2.3288802E+06   2.3398238E+06
    2.6250   1.5075470E+06   1.2555560E+06   1.2655800E+06   2.6097608E+06   2.3275925E+06   2.3379665E+06
    2.6375   1.5034599E+06   1.2557250E+06   1.2653344E+06   2.6090942E+06   2.3273145E+06   2.3369752E+06
    2.6500   1.4980120E+06   1.2568609E+06   1.2658608E+06   2.6070842E+06   2.3280475E+06   2.3368395E+06
    2.6625   1.4913122E+06   1.2589154E+06   1.2670821E+06   2.6037980E+06   2.3297500E+06   2.3375150E+06
    2.6750   1.4835262E+06   1.2617991E+06   1.2688932E+06   2.5993598E+06   2.3323395E+06   2.3389272E+06
    2.6875   1.4748698E+06   1.2653864E+06   1.2711638E+06   2.5939445E+06   2.3356965E+06   2.3409742E+06
    2.7000   1.4655994E+06   1.2695194E+06   1.2737450E+06   2.5877702E+06   2.3396692E+06   2.3435310E+06
    2.7125   1.4560035E+06   1.2740156E+06   1.2764749E+06   2.5810890E+06   2.3440800E+06   2.3464540E+06
    2.7250   1.4463899E+06   1.2786755E+06   1.2791854E+06   2.5741755E+06   2.3487342E+06   2.3495885E+06
    2.7375   1.4370741E+06   1.2832904E+06   1.2817085E+06   2.5673165E+06   2.3534268E+06   2.3527720E+06
    2.7500   1.4283669E+06   1.2876520E+06   1.2838831E+06   2.5607988E+06   2.3579515E+06   2.3558435E+06
