
These predictions were generated by MoorDyn (v2.0.02022-12-08) on 20-Sep-2023 at 07:59:09.

 
 
 
      Time        FAIRTEN1        FAIRTEN2        FAIRTEN3
       (s)             (N)             (N)             (N)
    2.3300   3.3318852E+06   3.0836485E+06   3.1757095E+06
    2.3400   3.3318852E+06   3.0836485E+06   3.1757095E+06
    2.3500   3.3318852E+06   3.0836485E+06   3.1757095E+06
    2.3600   3.3318852E+06   3.0836488E+06   3.1757095E+06
    2.3700   3.3318852E+06   3.0836488E+06   3.1757092E+06
    2.3800   3.3318852E+06   3.0836488E+06   3.1757092E+06
    2.3900   3.3318852E+06   3.0836488E+06   3.1757092E+06
    2.4000   3.3318852E+06   3.0836488E+06   3.1757092E+06
    2.4100   3.3318850E+06   3.0836488E+06   3.1757095E+06
    2.4200   3.3318850E+06   3.0836488E+06   3.1757095E+06
    2.4300   3.3318850E+06   3.0836488E+06   3.1757098E+06
    2.4400   3.3318848E+06   3.0836488E+06   3.1757098E+06
    2.4500   3.3318845E+06   3.0836488E+06   3.1757100E+06
    2.4600   3.3318845E+06   3.0836488E+06   3.1757102E+06
    2.4700   3.3318842E+06   3.0836488E+06   3.1757105E+06
    2.4800   3.3318840E+06   3.0836485E+06   3.1757108E+06
    2.4900   3.3318840E+06   3.0836485E+06   3.1757110E+06
    2.5000   3.3318838E+06   3.0836485E+06   3.1757112E+06
    2.5100   3.3318835E+06   3.0836485E+06   3.1757115E+06
    2.5200   3.3318832E+06   3.0836482E+06   3.1757115E+06
    2.5300   3.3318832E+06   3.0836482E+06   3.1757118E+06
    2.5400   3.3318830E+06   3.0836482E+06   3.1757120E+06
    2.5500   3.3318830E+06   3.0836482E+06   3.1757120E+06
    2.5600   3.3318828E+06   3.0836482E+06   3.1757122E+06
    2.5700   3.3318828E+06   3.0836482E+06   3.1757122E+06
    2.5800   3.3318825E+06   3.0836482E+06   3.1757125E+06
    2.5900   3.3318825E+06   3.0836482E+06   3.1757125E+06
